name_lat,half_dec,pres
Alisma plantago-aquatica,1990,428
Alisma plantago-aquatica,1995,586
Alisma plantago-aquatica,2000,1989
Alisma plantago-aquatica,2005,976
Alisma plantago-aquatica,2010,793
Alisma plantago-aquatica,2015,305
Alliaria petiolata,1960,190
Alliaria petiolata,1965,283
Alliaria petiolata,1970,359
Alliaria petiolata,1975,456
Alliaria petiolata,1980,444
Alliaria petiolata,1985,515
Alliaria petiolata,1990,600
Alliaria petiolata,1995,491
Alliaria petiolata,2000,1275
Alliaria petiolata,2005,1110
Alliaria petiolata,2010,1186
Alliaria petiolata,2015,366
Allium angulosum,1960,9
Allium angulosum,1965,34
Allium angulosum,1970,25
Allium angulosum,1975,26
Allium angulosum,1980,34
Allium angulosum,1985,31
Allium angulosum,1990,67
Allium angulosum,1995,46
Allium angulosum,2000,134
Allium angulosum,2005,86
Allium angulosum,2010,73
Allium angulosum,2015,13
Allium carinatum,1960,1
Allium carinatum,1965,2
Allium carinatum,1970,4
Allium carinatum,1975,4
Allium carinatum,1980,3
Allium carinatum,1985,9
Allium carinatum,1990,28
Allium carinatum,1995,36
Allium carinatum,2000,58
Allium carinatum,2005,25
Allium carinatum,2010,7
Allium carinatum,2015,4
Allium flavum,1960,9
Allium flavum,1965,28
Allium flavum,1970,16
Allium flavum,1975,16
Allium flavum,1980,13
Allium flavum,1985,36
Allium flavum,1990,98
Allium flavum,1995,71
Allium flavum,2000,100
Allium flavum,2005,55
Allium flavum,2010,56
Allium flavum,2015,9
Allium oleraceum,1960,37
Allium oleraceum,1965,82
Allium oleraceum,1970,167
Allium oleraceum,1975,198
Allium oleraceum,1980,120
Allium oleraceum,1985,190
Allium oleraceum,1990,273
Allium oleraceum,1995,167
Allium oleraceum,2000,545
Allium oleraceum,2005,757
Allium oleraceum,2010,410
Allium oleraceum,2015,221
Allium paradoxum,1960,1
Allium paradoxum,1970,7
Allium paradoxum,1975,11
Allium paradoxum,1980,3
Allium paradoxum,1985,8
Allium paradoxum,1990,5
Allium paradoxum,1995,8
Allium paradoxum,2000,16
Allium paradoxum,2005,25
Allium paradoxum,2010,12
Allium paradoxum,2015,17
Allium rotundum,1960,5
Allium rotundum,1965,11
Allium rotundum,1970,13
Allium rotundum,1975,19
Allium rotundum,1980,12
Allium rotundum,1985,23
Allium rotundum,1990,42
Allium rotundum,1995,23
Allium rotundum,2000,61
Allium rotundum,2005,74
Allium rotundum,2010,43
Allium rotundum,2015,36
Allium schoenoprasum,1960,15
Allium schoenoprasum,1965,19
Allium schoenoprasum,1970,20
Allium schoenoprasum,1975,12
Allium schoenoprasum,1980,27
Allium schoenoprasum,1985,16
Allium schoenoprasum,1990,17
Allium schoenoprasum,1995,23
Allium schoenoprasum,2000,35
Allium schoenoprasum,2005,27
Allium schoenoprasum,2010,33
Allium schoenoprasum,2015,10
Allium scorodoprasum,1960,10
Allium scorodoprasum,1965,27
Allium scorodoprasum,1970,56
Allium scorodoprasum,1975,67
Allium scorodoprasum,1980,59
Allium scorodoprasum,1985,121
Allium scorodoprasum,1990,203
Allium scorodoprasum,1995,138
Allium scorodoprasum,2000,342
Allium scorodoprasum,2005,237
Allium scorodoprasum,2010,249
Allium scorodoprasum,2015,90
Allium senescens,1960,45
Allium senescens,1965,92
Allium senescens,1970,138
Allium senescens,1975,130
Allium senescens,1980,97
Allium senescens,1985,100
Allium senescens,1990,134
Allium senescens,1995,107
Allium senescens,2000,232
Allium senescens,2005,129
Allium senescens,2010,204
Allium senescens,2015,52
Allium sphaerocephalon,1960,3
Allium sphaerocephalon,1965,7
Allium sphaerocephalon,1970,13
Allium sphaerocephalon,1975,5
Allium sphaerocephalon,1980,6
Allium sphaerocephalon,1985,6
Allium sphaerocephalon,1990,17
Allium sphaerocephalon,1995,8
Allium sphaerocephalon,2000,13
Allium sphaerocephalon,2005,12
Allium sphaerocephalon,2010,23
Allium sphaerocephalon,2015,4
Allium strictum,1960,8
Allium strictum,1965,34
Allium strictum,1970,30
Allium strictum,1975,16
Allium strictum,1980,9
Allium strictum,1985,1
Allium strictum,1990,10
Allium strictum,1995,7
Allium strictum,2000,9
Allium strictum,2005,9
Allium strictum,2010,6
Allium strictum,2015,1
Allium ursinum,1960,70
Allium ursinum,1965,127
Allium ursinum,1970,119
Allium ursinum,1975,128
Allium ursinum,1980,134
Allium ursinum,1985,144
Allium ursinum,1990,179
Allium ursinum,1995,179
Allium ursinum,2000,433
Allium ursinum,2005,203
Allium ursinum,2010,252
Allium ursinum,2015,76
Allium victorialis,1960,4
Allium victorialis,1965,10
Allium victorialis,1970,14
Allium victorialis,1975,4
Allium victorialis,1980,5
Allium victorialis,1985,2
Allium victorialis,1990,18
Allium victorialis,1995,5
Allium victorialis,2000,11
Allium victorialis,2005,12
Allium victorialis,2010,10
Allium victorialis,2015,2
Allium vineale,1960,33
Allium vineale,1965,71
Allium vineale,1970,137
Allium vineale,1975,228
Allium vineale,1980,96
Allium vineale,1985,135
Allium vineale,1990,182
Allium vineale,1995,108
Allium vineale,2000,354
Allium vineale,2005,419
Allium vineale,2010,196
Allium vineale,2015,153
Alnus alnobetula,1960,17
Alnus alnobetula,1965,26
Alnus alnobetula,1970,22
Alnus alnobetula,1975,14
Alnus alnobetula,1980,9
Alnus alnobetula,1985,21
Alnus alnobetula,1990,13
Alnus alnobetula,1995,26
Alnus alnobetula,2000,19
Alnus alnobetula,2005,27
Alnus alnobetula,2010,26
Alnus alnobetula,2015,8
Alnus glutinosa,1960,455
Alnus glutinosa,1965,466
Alnus glutinosa,1970,629
Alnus glutinosa,1975,699
Alnus glutinosa,1980,609
Alnus glutinosa,1985,729
Alnus glutinosa,1990,855
Alnus glutinosa,1995,1570
Alnus glutinosa,2000,6039
Alnus glutinosa,2005,2015
Alnus glutinosa,2010,2383
Alnus glutinosa,2015,272
Alnus incana,1960,106
Alnus incana,1965,162
Alnus incana,1970,216
Alnus incana,1975,237
Alnus incana,1980,187
Alnus incana,1985,279
Alnus incana,1990,289
Alnus incana,1995,385
Alnus incana,2000,1748
Alnus incana,2005,671
Alnus incana,2010,923
Alnus incana,2015,73
Alopecurus aequalis,1960,99
Alopecurus aequalis,1965,152
Alopecurus aequalis,1970,233
Alopecurus aequalis,1975,306
Alopecurus aequalis,1980,334
Alopecurus aequalis,1985,496
Alopecurus aequalis,1990,378
Alopecurus aequalis,1995,455
Alopecurus aequalis,2000,1237
Alopecurus aequalis,2005,680
Alopecurus aequalis,2010,671
Alopecurus aequalis,2015,295
Alopecurus geniculatus,1960,37
Alopecurus geniculatus,1965,93
Alopecurus geniculatus,1970,95
Alopecurus geniculatus,1975,112
Alopecurus geniculatus,1980,111
Alopecurus geniculatus,1985,168
Alopecurus geniculatus,1990,116
Alopecurus geniculatus,1995,69
Alopecurus geniculatus,2000,150
Alopecurus geniculatus,2005,84
Alopecurus geniculatus,2010,95
Alopecurus geniculatus,2015,32
Alopecurus myosuroides,1960,3
Alopecurus myosuroides,1965,7
Alopecurus myosuroides,1970,5
Alopecurus myosuroides,1975,21
Alopecurus myosuroides,1980,13
Alopecurus myosuroides,1985,10
Alopecurus myosuroides,1990,5
Alopecurus myosuroides,1995,7
Alopecurus myosuroides,2000,9
Alopecurus myosuroides,2005,16
Alopecurus myosuroides,2010,18
Alopecurus myosuroides,2015,15
Alopecurus pratensis,1960,159
Alopecurus pratensis,1965,399
Alopecurus pratensis,1970,646
Alopecurus pratensis,1975,665
Alopecurus pratensis,1980,578
Alopecurus pratensis,1985,721
Alopecurus pratensis,1990,720
Alopecurus pratensis,1995,1177
Alopecurus pratensis,2000,4124
Alopecurus pratensis,2005,1678
Alopecurus pratensis,2010,1969
Alopecurus pratensis,2015,192
Althaea officinalis,1960,11
Althaea officinalis,1965,6
Althaea officinalis,1970,6
Althaea officinalis,1975,18
Althaea officinalis,1980,5
Althaea officinalis,1985,9
Althaea officinalis,1990,34
Althaea officinalis,1995,16
Althaea officinalis,2000,41
Althaea officinalis,2005,10
Althaea officinalis,2010,23
Althaea officinalis,2015,13
Alyssum alyssoides,1960,34
Alyssum alyssoides,1965,70
Alyssum alyssoides,1970,128
Alyssum alyssoides,1975,183
Alyssum alyssoides,1980,138
Alyssum alyssoides,1985,94
Alyssum alyssoides,1990,194
Alyssum alyssoides,1995,108
Alyssum alyssoides,2000,205
Alyssum alyssoides,2005,174
Alyssum alyssoides,2010,166
Alyssum alyssoides,2015,87
Alyssum montanum,1960,27
Alyssum montanum,1965,63
Alyssum montanum,1970,75
Alyssum montanum,1975,58
Alyssum montanum,1980,42
Alyssum montanum,1985,35
Alyssum montanum,1990,67
Alyssum montanum,1995,52
Alyssum montanum,2000,78
Alyssum montanum,2005,49
Alyssum montanum,2010,54
Alyssum montanum,2015,10
Amaranthus albus,1960,16
Amaranthus albus,1965,20
Amaranthus albus,1970,16
Amaranthus albus,1975,22
Amaranthus albus,1980,25
Amaranthus albus,1985,24
Amaranthus albus,1990,23
Amaranthus albus,1995,10
Amaranthus albus,2000,37
Amaranthus albus,2005,33
Amaranthus albus,2010,50
Amaranthus albus,2015,117
Amaranthus blitoides,1960,1
Amaranthus blitoides,1970,2
Amaranthus blitoides,1975,9
Amaranthus blitoides,1980,7
Amaranthus blitoides,1985,2
Amaranthus blitoides,1990,7
Amaranthus blitoides,1995,3
Amaranthus blitoides,2000,15
Amaranthus blitoides,2005,1
Amaranthus blitoides,2015,4
Amaranthus blitum,1960,8
Amaranthus blitum,1965,12
Amaranthus blitum,1970,13
Amaranthus blitum,1975,19
Amaranthus blitum,1980,12
Amaranthus blitum,1985,23
Amaranthus blitum,1990,13
Amaranthus blitum,1995,5
Amaranthus blitum,2000,77
Amaranthus blitum,2005,25
Amaranthus blitum,2010,30
Amaranthus blitum,2015,51
Amaranthus caudatus,1965,3
